"Now Shopping by","Comprar por"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Código do sítio só pode conter letras (a-z), números (0-9) ou sublinhado (_), e o primeiro caractere deve ser uma letra."
"Store is inactive","A loja está inativa"
"Invalid store parameter.","Parâmetro de loja inválido."
"Default store is inactive","A loja padrão está inativa"
"The store cannot be switched.","A loja não pode ser trocada."
"Something went wrong.","Algo deu errado."
"All Store Views","Todas as Visões de Loja"
"-- Please Select --","-- Selecione uma opção --"
"Admin","Administrador"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","O código de loja pode conter somente letras (a-z), números (0-9) ou sublinhado (_),' ' e o primeiro caractere deve ser uma letra."
"Name is required","Nome é obrigatório"
"The default website isn't defined. Set the website and try again.","The default website isn't defined. Set the website and try again."
"The default website is invalid. Make sure no more than one default is defined and try again.","The default website is invalid. Make sure no more than one default is defined and try again."
"no such entity exception","não há tal exceção de entidade"
"Your Language:","Seu idioma:"
"Your Language","Seu idioma"
"Language","Idioma"
"Select Store","Selecionar loja"
"Configuration","Configuração"
"Various XML configurations that were collected across modules and merged","Foram obtidas e combinadas várias configurações XML"
"Layouts","Layouts"
"Layout building instructions","Instruções de construção de layout"
"Blocks HTML output","Saída de blocos HTML"
"Page blocks HTML","HTML dos blocos da página"
"Collections Data","Coleções de dados"
"Collection data files","Arquivos de coleção de dados"
"Reflection Data","Dados de Reflecção"
"API interfaces reflection data","Dados de reflexão das interfaces de API"
"Database DDL operations","Operações DDL da Base de Dados"
"Results of DDL queries, such as describing tables or indexes","Resultados das consultas DDL, como descrições de tabelas ou indíces"
"Compiled Config","Compilado de Config"
"Compilation configuration","Configuração de compilação"
"Cart Price Rules","Regras de preço do carrinho"
"Add New Rule","Adicionar Nova Regra"
"Delete","Excluir"
"Are you sure you want to delete this?","Deseja realmente apagar isto?"
"Reset","Reiniciar"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Save","Salvar"
"Actions","Ações"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Aplicar a regra apenas a itens do carrinho que cumpram as seguintes condições (deixe em branco para todos os itens)."
"Apply To","Aplicar a"
"Conditions","Condições"
"Apply the rule only if the following conditions are met (leave blank for all products).","Aplicar a regra apenas se as seguintes condições forem verdadeiras (deixe em branco para todos os itens)."
"Manage Coupon Codes","Gerenciar Códigos de Cupom"
"Coupon Qty","Qtde de Cupom"
"Code Length","Tamanho do código"
"Excluding prefix, suffix and separators.","Excluindo o prefixo, sufixo e separadores."
"Code Format","Formato do código"
"Code Prefix","Prefixo do código"
"Code Suffix","Sufixo do código"
"Dash Every X Characters","Hífen a Cada X Caracteres"
"If empty no separation.","Se estiver vazio não há separação."
"Generate","Gerar"
"Coupon Code","Código do cupom"
"Created","Criado"
"Used","Usado"
"No","Não"
"Yes","Sim"
"Times Used","Número de usos"
"CSV","CSV"
"Excel XML","Excel, XML"
"Are you sure you want to delete the selected coupon(s)?","Você tem certeza que deseja excluir o(s) cupões selecionado(s)?"
"Labels","Etiquetas"
"Store View Specific Labels","Etiquetas Específicas a Vistas de Loja"
"ID","Id."
"Rule","Regra"
"Start","Ínicio"
"End","Fim"
"Status","Situação"
"%1 - Discounts and Coupons","%1 - Descontos e Cupons"
"Coupons/Discounts","Cupons/Descontos"
"Promotions","Promoções"
"You deleted the rule.","Você excluiu a regra."
"We can't delete the rule right now. Please review the log and try again.","Não podemos excluir a regra agora. Por favor, revise o relatório e tente novamente."
"We can't find a rule to delete.","Não é possível encontrar uma regra para excluir."
"This rule no longer exists.","Esta regra não existe mais."
"Edit Rule","Editar Regra"
"New Rule","Nova Regra"
"New Cart Price Rule","Nova Regra de Preço do Carrinho"
"Rule is not defined","Regra não definida"
"The rule coupon settings changed. Please save the rule before using auto-generation.","The rule coupon settings changed. Please save the rule before using auto-generation."
"Message is added to queue, wait to get your coupons soon","Message is added to queue, wait to get your coupons soon"
"Invalid data provided","Os dados fornecidos são inválidos"
"Something went wrong while generating coupons. Please review the log and try again.","Houve algum problema ao gerar os cupons. Por favor, analise o log e tente novamente."
"Catalog","Catálogo"
"The wrong rule is specified.","Foi especificada uma regra errada."
"You saved the rule.","Você gravou a regra."
"Something went wrong while saving the rule data. Please review the error log.","Problema ao tentar salvar os dados da regra. Por favor, revise o log de erros."
"Alphanumeric","Alfanumérico"
"Alphabetical","Alfabética"
"Numeric","Numérico"
"Incorrect CAPTCHA","CAPTCHA incorreto"
"Too many coupon code requests, please try again later.","Too many coupon code requests, please try again later."
"Your coupons are ready","Seus cupons estão prontos"
"You can check your coupons at sales rule page","You can check your coupons at sales rule page"
"Error during coupons generator process occurred","Error during coupons generator process occurred"
"Error during coupons generator process occurred. Please check logs for detail","Error during coupons generator process occurred. Please check logs for detail"
"We cannot create the requested Coupon Qty. Please check your settings and try again.","Não conseguimos criar a quantidade solicitada de cupons. Por favor, verifique as suas configurações e tente novamente."
"Specified rule does not allow coupons","A regra especificada não permite cupons"
"Specified rule only allows auto generated coupons","A regra especificada permite apenas cupons gerados automaticamente"
"Specified rule does not allow auto generated coupons","A regra especificada não permite cupons gerados automaticamente"
"Error occurred when saving coupon: %1","Ocorreu um erro ao gravar o cupom: %1"
"Sorry, something went wrong during rule usage update. Please see log for details.","Sorry, something went wrong during rule usage update. Please see log for details."
"Discount (%1)","Desconto (%1)"
"Discount","Desconto"
"Coupon with the same code","Cupom com o mesmo código"
"No Coupon","Sem cupom"
"Specific Coupon","Cupom específico"
"Auto","Automático"
"Can't acquire coupon.","Não pode adquirir cupom."
"Update the Product","Atualizar produto"
"Special Price","Preço Especial"
